Time_Index,Demand_MW_MG,Demand_MW_SP,Demand_MW_GO,Demand_MW_RJ,Demand_MW_ES,Demand_MW_RO,Demand_MW_MS,Demand_MW_MT,Demand_MW_AC,Demand_MW_DF,Demand_MW_PA,Demand_MW_TO,Demand_MW_MA,Demand_MW_AP,Demand_MW_AM,Demand_MW_RR,Demand_MW_SC,Demand_MW_PR,Demand_MW_RS,Demand_MW_PI,Demand_MW_CE,Demand_MW_RN,Demand_MW_PB,Demand_MW_PE,Demand_MW_AL,Demand_MW_SE,Demand_MW_BA,Demand_MW_ARG,Demand_MW_URY,Demand_MW_VEN,Demand_MW_PRY
41,8771.95,18585.77,2915.17,6577.38,1625.83,616.11,1061.69,1392.28,252.54,1037.28,2104.42,465.53,1978.79,160.63,791.96,128.66,3532.9,5545.32,5558.78,748.34,2144.99,849.19,953.92,2161.36,666.95,528.57,3523.7,0.0,0.0,0.0,0.0
42,8490.17,17988.75,2821.53,6366.09,1573.6,596.32,1027.59,1347.56,244.43,1003.96,2063.31,456.44,1940.13,157.49,776.49,126.14,3383.74,5311.18,5324.08,725.79,2080.32,823.59,925.16,2096.2,646.84,512.63,3417.47,0.0,0.0,0.0,0.0
43,8085.12,17130.53,2686.92,6062.38,1498.53,567.87,978.56,1283.27,232.77,956.06,1972.1,436.26,1854.37,150.53,742.17,120.57,3162.89,4964.53,4976.58,659.72,1890.97,748.62,840.95,1905.4,587.96,465.97,3106.4,0.0,0.0,0.0,0.0
44,8052.15,17060.67,2675.96,6037.66,1492.42,565.56,974.57,1278.03,231.82,952.16,1943.69,429.98,1827.66,148.36,731.48,118.83,3001.41,4711.08,4722.51,690.88,1980.27,783.98,880.66,1995.38,615.73,487.98,3253.11,0.0,0.0,0.0,0.0
45,8749.22,18537.61,2907.62,6560.33,1621.62,614.52,1058.94,1388.67,251.89,1034.59,2070.41,458.01,1946.81,158.03,779.16,126.58,3201.02,5024.39,5036.59,709.95,2034.93,805.62,904.97,2050.46,632.73,501.45,3342.9,0.0,0.0,0.0,0.0
46,8920.62,18900.77,2964.58,6688.85,1653.39,626.55,1079.68,1415.88,256.82,1054.86,2087.98,461.9,1963.33,159.37,785.77,127.65,3481.01,5463.86,5477.13,708.85,2031.78,804.37,903.57,2047.29,631.75,500.67,3337.73,0.0,0.0,0.0,0.0
47,8838.09,18725.91,2937.15,6626.97,1638.09,620.76,1069.7,1402.78,254.45,1045.1,2135.82,472.48,2008.32,163.02,803.78,130.58,3580.94,5620.71,5634.35,753.71,2160.36,855.28,960.75,2176.85,671.73,532.36,3548.96,0.0,0.0,0.0,0.0
48,8455.77,17915.86,2810.1,6340.3,1567.23,593.91,1023.42,1342.1,243.44,999.89,2163.85,478.68,2034.68,165.16,814.33,132.29,3512.87,5513.87,5527.26,761.4,2182.41,864.01,970.56,2199.07,678.58,537.79,3585.18,0.0,0.0,0.0,0.0
49,7981.29,16910.55,2652.41,5984.53,1479.29,560.58,966.0,1266.79,229.78,943.78,2148.9,475.37,2020.62,164.02,808.7,131.38,3315.19,5203.59,5216.22,741.82,2126.27,841.78,945.59,2142.5,661.13,523.96,3492.95,0.0,0.0,0.0,0.0
50,7547.78,15992.02,2508.34,5659.47,1398.94,530.13,913.53,1197.98,217.3,892.52,2108.91,466.53,1983.01,160.97,793.65,128.93,3123.78,4903.16,4915.06,718.61,2059.76,815.45,916.01,2075.48,640.44,507.57,3383.69,0.0,0.0,0.0,0.0
51,7260.06,15382.42,2412.73,5443.73,1345.61,509.92,878.7,1152.31,209.02,858.5,2076.01,459.25,1952.08,158.46,781.27,126.92,2981.62,4680.01,4691.37,699.86,2006.03,794.18,892.12,2021.33,623.74,494.33,3295.42,0.0,0.0,0.0,0.0
52,7105.04,15053.97,2361.21,5327.5,1316.88,499.03,859.94,1127.71,204.55,840.17,2021.82,447.26,1901.12,154.32,760.88,123.61,2890.38,4536.8,4547.82,682.28,1955.63,774.22,869.71,1970.55,608.07,481.91,3212.63,0.0,0.0,0.0,0.0
53,7054.26,14946.37,2344.33,5289.42,1307.47,495.47,853.79,1119.65,203.09,834.16,1981.82,438.41,1863.51,151.27,745.83,121.16,2828.59,4439.81,4450.59,670.45,1921.72,760.8,854.63,1936.39,597.53,473.55,3156.93,0.0,0.0,0.0,0.0
54,7136.58,15120.79,2371.69,5351.14,1322.72,501.25,863.76,1132.71,205.46,843.89,1948.18,430.97,1831.88,148.7,733.16,119.1,2819.66,4425.8,4436.54,662.24,1898.19,751.48,844.16,1912.68,590.21,467.75,3118.27,0.0,0.0,0.0,0.0
